NIVEL;CURSO;OA;COD_ASG;ASIGNATURA;CATEGORIA;DESCRIPCION
M;2M;OA 14;LE2M;Lengua y Literatura;Aprendizajes Basales;Escribir, con el propósito de persuadir, textos de diversos géneros, en particular ensayos sobre los temas o lecturas propuestos para el nivel, caracterizados por: La presentación de una hipótesis o afirmación referida a temas contingentes o literarios., La presencia de evidencias e información pertinente, extraídas de textos literarios y no literarios., El uso de contraargumentos cuando es pertinente., El uso de recursos variados que favorezcan el interés y la comprensión del lector, tales como anécdotas, citas, síntesis, imágenes, infografías, etc., La mantención de la coherencia temática., Una conclusión coherente con los argumentos presentados., El uso de citas y referencias según un formato previamente acordado.
M;2M;OA 15;LE2M;Lengua y Literatura;Aprendizajes Basales;Planificar, escribir, revisar, reescribir y editar sus textos en función del contexto, el destinatario y el propósito: Recopilando información e ideas y organizándolas antes de escribir., Adecuando el registro, específicamente el vocabulario (uso de términos técnicos, frases hechas, palabras propias de las redes sociales, términos y expresiones propios del lenguaje hablado), el uso de la persona gramatical y la estructura del texto, al género discursivo, contexto y destinatario., Considerando los conocimientos e intereses del lector al incluir la información., Asegurando la coherencia y la cohesión del texto., Cuidando la organización a nivel oracional y textual., Usando conectores adecuados para unir las secciones que componen el texto y relacionando las ideas dentro de cada párrafo., Usando un vocabulario variado y preciso., Reconociendo y corrigiendo usos inadecuados, especialmente de pronombres personales y reflejos, conjugaciones verbales, participios irregulares, conectores, preposiciones, y concordancia sujeto-verbo, artículo-sustantivo, sustantivo-adjetivo y complementarios., Corrigiendo la ortografía y mejorando la presentación., Usando eficazmente las herramientas del procesador de textos.
M;2M;OA 16;LE2M;Lengua y Literatura;Aprendizajes Complementarios;Usar consistentemente el estilo directo y el indirecto en textos escritos y orales: Empleando adecuadamente los tiempos verbales en el estilo indirecto., Reflexionando sobre el contraste en aspectos formales y de significado entre estilo directo e indirecto, especialmente en textos del ámbito académico.
M;2M;OA 17;LE2M;Lengua y Literatura;Aprendizajes Basales;Emplear frases nominales complejas como recurso para compactar la información y establecer correferencia en textos con finalidad expositiva y argumentativa.
M;2M;OA 18;LE2M;Lengua y Literatura;Aprendizajes Complementarios;Escribir correctamente para facilitar la comprensión al lector: Aplicando todas las reglas de ortografía literal y acentual., Verificando la escritura de las palabras cuya ortografía no está sujeta a reglas., Usando correctamente el punto, coma, raya, dos puntos, paréntesis, puntos suspensivos, comillas y punto y coma.
M;2M;OA 19;LE2M;Lengua y Literatura;Aprendizajes Basales;Comprender, comparar y evaluar textos orales y audiovisuales, tales como exposiciones, discursos, documentales, noticias, reportajes, etc., considerando: Su postura personal frente a lo escuchado y argumentos que la sustenten., Una ordenación de la información en términos de su relevancia., El contexto en el que se enmarcan los textos., El uso de estereotipos, clichés y generalizaciones., Los argumentos y elementos de persuasión que usa el hablante para sostener una postura., Diferentes puntos de vista expresados en los textos., La contribución de imágenes y sonido al significado del texto., Las relaciones que se establecen entre imágenes, texto y sonido., Relaciones entre lo escuchado y los temas y obras estudiados durante el curso.
M;2M;OA 20;LE2M;Lengua y Literatura;Aprendizajes Complementarios;Evaluar el punto de vista de un emisor, su razonamiento y uso de recursos retóricos (vocabulario, organización de las ideas, desarrollo y progresión de los argumentos, etc.).
M;2M;OA 21;LE2M;Lengua y Literatura;Aprendizajes Basales;Dialogar constructivamente para debatir o explorar ideas: Manteniendo el foco., Demostrando comprensión de lo dicho por el interlocutor., Fundamentando su postura de manera pertinente y usando información que permita cumplir los propósitos establecidos., Distinguiendo afirmaciones basadas en evidencias de aquellas que no lo están., Retomando lo dicho por otros a través del parafraseo antes de contribuir con una idea nueva o refutar un argumento., Negociando acuerdos con los interlocutores., Reformulando sus comentarios para desarrollarlos mejor., Considerando al interlocutor para la toma de turnos.
M;2M;OA 22;LE2M;Lengua y Literatura;Aprendizajes Complementarios;Expresarse frente a una audiencia de manera clara y adecuada a la situación para comunicar temas de su interés: Presentando información fidedigna y que denota una investigación previa., Siguiendo una progresión temática clara., Graduando la cantidad de información que se entrega en cada parte de la exposición para asegurarse de que la audiencia comprenda., Usando un vocabulario que denota dominio del tema., Usando conectores adecuados para hilar la presentación., Usando material visual que destaque solo lo más relevante y/o explique los conceptos más complejos.
M;2M;OA 23;LE2M;Lengua y Literatura;Aprendizajes Complementarios;Analizar los posibles efectos de los elementos lingüísticos, paralingüísticos y no lingüísticos que usa un hablante en una situación determinada.
M;2M;OA 24;LE2M;Lengua y Literatura;Aprendizajes Basales;Realizar investigaciones sobre diversos temas para complementar sus lecturas o responder interrogantes relacionadas con el lenguaje y la literatura: Delimitando el tema de investigación., Seleccionando páginas y fuentes según la profundidad y la cobertura de la información que buscan., Usando los organizadores y la estructura textual para encontrar información de manera eficiente., Evaluando si los textos entregan suficiente información para responder una determinada pregunta o cumplir un propósito., Evaluando la validez y confiabilidad de las fuentes consultadas., Jerarquizando la información encontrada en las fuentes investigadas., Registrando la información bibliográfica de las fuentes consultadas., Elaborando un texto oral o escrito bien estructurado que comunique sus hallazgos.
M;2M;OAA A;LE2M;Lengua y Literatura;Actitudes;Manifestar disposición a formarse un pensamiento propio, reflexivo e informado, mediante una lectura crítica y el diálogo con otros.
M;2M;OAA B;LE2M;Lengua y Literatura;Actitudes;Manifestar una disposición a reflexionar sobre sí mismo y sobre las cuestiones sociales y éticas que emanan de las lecturas.
M;2M;OAA C;LE2M;Lengua y Literatura;Actitudes;Interesarse por comprender las experiencias e ideas de los demás, utilizando la lectura y el diálogo para el enriquecimiento personal y para la construcción de buenas relaciones con los demás.
M;2M;OAA D;LE2M;Lengua y Literatura;Actitudes;Valorar la diversidad de perspectivas, creencias y culturas, presentes en su entorno y el mundo, como manifestación de la libertad, creatividad y dignidad humana.
M;2M;OAA E;LE2M;Lengua y Literatura;Actitudes;Valorar las posibilidades que da el discurso hablado y escrito para participar de manera proactiva, informada y responsable en la vida de la sociedad democrática.
M;2M;OAA F;LE2M;Lengua y Literatura;Actitudes;Valorar la evidencia y la búsqueda de conocimientos que apoyen sus aseveraciones.
M;2M;OAA G;LE2M;Lengua y Literatura;Actitudes;Realizar tareas y trabajos de forma rigurosa y perseverante, entendiendo que los logros se obtienen solo después de un trabajo prolongado.
M;2M;OAA H;LE2M;Lengua y Literatura;Actitudes;Trabajar colaborativamente, usando de manera responsable las tecnologías de la comunicación, dando crédito al trabajo de otros y respetando la propiedad y la privacidad de las personas.
B;1B;OA 01;MA01;Matemática;Aprendizajes Complementarios;Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.
B;1B;OA 02;MA01;Matemática;Aprendizajes Complementarios;Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
B;1B;OA 03;MA01;Matemática;Aprendizajes Basales;Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.
B;1B;OA 04;MA01;Matemática;Aprendizajes Basales;Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
B;1B;OA 05;MA01;Matemática;Aprendizajes Complementarios;Estimar cantidades hasta 20 en situaciones concretas, usando un referente.
B;1B;OA 06;MA01;Matemática;Aprendizajes Basales;Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.
B;1B;OA 07;MA01;Matemática;Aprendizajes Complementarios;Describir y aplicar estrategias de cálculo mental para las adiciones y sustracciones hasta 20: conteo hacia adelante y atrás, completar 10, dobles.
B;1B;OA 08;MA01;Matemática;Aprendizajes Basales;Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.
B;1B;OA 09;MA01;Matemática;Aprendizajes Basales;Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente, de 0 a 5, de 6 a 10, de 11 a 20 con dos sumandos: usando un lenguaje cotidiano para describir acciones desde su propia experiencia, representando adiciones y sustracciones con material concreto y pictórico, de manera manual y/o usando software educativo, representando el proceso en forma simbólica, resolviendo problemas en contextos familiares, creando problemas matemáticos y resolviéndolos.
B;1B;OA 10;MA01;Matemática;Aprendizajes Complementarios;Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.
B;1B;OA 11;MA01;Matemática;Aprendizajes Basales;Reconocer, describir, crear y continuar patrones repetitivos (sonidos, figuras, ritmos...) y patrones numéricos hasta el 20, crecientes y decrecientes, usando material concreto, pictórico y simbólico, de manera manual y/o por medio de software educativo.
B;1B;OA 12;MA01;Matemática;Aprendizajes Complementarios;Describir y registrar la igualdad y la desigualdad como equilibrio y desequilibrio, usando una balanza en forma concreta, pictórica y simbólica del 0 al 20, usando el símbolo igual (=).
B;1B;OA 13;MA01;Matemática;Aprendizajes Basales;Describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, usando un lenguaje común (como derecha e izquierda).
B;1B;OA 14;MA01;Matemática;Aprendizajes Basales;Identificar en el entorno figuras 3D y figuras 2D y relacionarlas, usando material concreto.
B;1B;OA 15;MA01;Matemática;Aprendizajes Complementarios;Identificar y dibujar líneas rectas y curvas.
B;1B;OA 16;MA01;Matemática;Aprendizajes Complementarios;Usar unidades no estandarizadas de tiempo para comparar la duración de eventos cotidianos.
B;1B;OA 17;MA01;Matemática;Aprendizajes Complementarios;Usar un lenguaje cotidiano para secuenciar eventos en el tiempo: días de la semana, meses del año y algunas fechas significativas.
B;1B;OA 18;MA01;Matemática;Aprendizajes Basales;Identificar y comparar la longitud de objetos, usando palabras como largo y corto.
B;1B;OA 19;MA01;Matemática;Aprendizajes Basales;Recolectar y registrar datos para responder preguntas estadísticas sobre sí mismo y el entorno, usando bloques, tablas de conteo y pictogramas.
B;1B;OA 20;MA01;Matemática;Aprendizajes Basales;Construir, leer e interpretar pictogramas.
B;1B;OAA A;MA01;Matemática;Actitudes;Manifestar un estilo de trabajo ordenado y metódico.
B;1B;OAA B;MA01;Matemática;Actitudes;Abordar de manera flexible y creativa la búsqueda de soluciones a problemas.
B;1B;OAA C;MA01;Matemática;Actitudes;Manifestar curiosidad e interés por el aprendizaje de las matemáticas.
B;1B;OAA D;MA01;Matemática;Actitudes;Manifestar una actitud positiva frente a sí mismo y sus capacidades.
B;1B;OAA E;MA01;Matemática;Actitudes;Demostrar una actitud de esfuerzo y perseverancia.
B;1B;OAA F;MA01;Matemática;Actitudes;Expresar y escuchar ideas de forma respetuosa.
B;1B;OAH a;MA01;Matemática;Habilidades;Resolver problemas: Emplear diversas estrategias para resolver problemas.
B;1B;OAH b;MA01;Matemática;Habilidades;Resolver problemas: Comprobar enunciados, usando material concreto y gráfico.
B;1B;OAH c;MA01;Matemática;Habilidades;Resolver problemas: Expresar un problema con sus propias palabras.
B;1B;OAH d;MA01;Matemática;Habilidades;Argumentar y comunicar: Describir situaciones del entorno con lenguaje matemático.
B;1B;OAH e;MA01;Matemática;Habilidades;Argumentar y comunicar: Comunicar el resultado de descubrimientos de relaciones, patrones y reglas, entre otros, empleando expresiones matemáticas.
B;1B;OAH f;MA01;Matemática;Habilidades;Argumentar y comunicar: Explicar las soluciones propias y los procedimientos utilizados.
B;1B;OAH g;MA01;Matemática;Habilidades;Modelar: Aplicar modelos que involucren sumas, restas y orden de cantidades.
B;1B;OAH h;MA01;Matemática;Habilidades;Modelar: Expresar, a partir de representaciones pictóricas y explicaciones dadas, acciones y situaciones cotidianas en lenguaje matemático.
B;1B;OAH i;MA01;Matemática;Habilidades;Representar: Elegir y utilizar representaciones concretas, pictóricas y simbólicas para representar enunciados.
B;1B;OAH j;MA01;Matemática;Habilidades;Representar: Crear un relato basado en una expresión matemática simple.
B;2B;OA 01;MA02;Matemática;Aprendizajes Complementarios;Contar números del 0 al 1 000 de 2 en 2, de 5 en 5, de 10 en 10 y de 100 en 100, hacia adelante y hacia atrás, empezando por cualquier número menor que 1 000.
B;2B;OA 02;MA02;Matemática;Aprendizajes Basales;Leer números del 0 al 100 y representarlos en forma concreta, pictórica y simbólica.
B;2B;OA 03;MA02;Matemática;Aprendizajes Basales;Comparar y ordenar números del 0 al 100 de menor a mayor y viceversa, usando material concreto y monedas nacionales de manera manual y/o por medio de software educativo.
B;2B;OA 04;MA02;Matemática;Aprendizajes Complementarios;Estimar cantidades hasta 100 en situaciones concretas, usando un referente.
B;2B;OA 05;MA02;Matemática;Aprendizajes Basales;Componer y descomponer números del 0 a 100 de manera aditiva, en forma concreta, pictórica y simbólica.
B;2B;OA 06;MA02;Matemática;Aprendizajes Complementarios;"Describir y aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20: completar 10, usar dobles y mitades, ""uno más uno menos"", ""dos más dos menos"", usar la reversibilidad de las operaciones."
B;2B;OA 07;MA02;Matemática;Aprendizajes Basales;Identificar las unidades y decenas en números del 0 al 100, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico.
B;2B;OA 08;MA02;Matemática;Aprendizajes Complementarios;Demostrar y explicar de manera concreta, pictórica y simbólica el efecto de sumar y restar 0 a un número.
B;2B;OA 09;MA02;Matemática;Aprendizajes Basales;Demostrar que comprende la adición y la sustracción en el ámbito del 0 al 100: usando un lenguaje cotidiano y matemático para describir acciones desde su propia experiencia, resolviendo problemas con una variedad de representaciones concretas y pictóricas, de manera manual y/o usando software educativo, registrando el proceso en forma simbólica, aplicando los resultados de las adiciones y sustracciones de los números del 0 a 20 sin realizar cálculos, aplicando el algoritmo de la adición y sustracción sin considerar reserva, creando problemas matemáticos en contextos familiares y resolviéndolos.
B;2B;OA 10;MA02;Matemática;Aprendizajes Complementarios;"Demostrar que comprende la relación entre la adición y la sustracción al usar la ""familia de operaciones"" en cálculos aritméticos y la resolución de problemas."
B;2B;OA 11;MA02;Matemática;Aprendizajes Basales;Demostrar que comprende la multiplicación: usando representaciones concretas y pictóricas, expresando una multiplicación como una adición de sumandos iguales, usando la distributividad como estrategia para construir las tablas del 2, del 5 y del 10, resolviendo problemas que involucren las tablas del 2, del 5 y del 10.
B;2B;OA 12;MA02;Matemática;Aprendizajes Basales;Crear, representar y continuar una variedad de patrones numéricos y completar los elementos faltantes, de manera manual y/o usando software educativo.
B;2B;OA 13;MA02;Matemática;Aprendizajes Basales;Demostrar, explicar y registrar la igualdad y la desigualdad en forma concreta y pictórica del 0 al 20, usando el símbolo igual (=) y los símbolos no igual (>, <).
B;2B;OA 14;MA02;Matemática;Aprendizajes Complementarios;Representar y describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, incluyendo derecha e izquierda y usando material concreto y dibujos.
B;2B;OA 15;MA02;Matemática;Aprendizajes Basales;Describir, comparar y construir figuras 2D (triángulos, cuadrados, rectángulos y círculos) con material concreto.
B;2B;OA 16;MA02;Matemática;Aprendizajes Basales;Describir, comparar y construir figuras 3D (cubos, paralelepípedos, esferas y conos) con diversos materiales.
B;2B;OA 17;MA02;Matemática;Aprendizajes Complementarios;Identificar días, semanas, meses y fechas en el calendario.
B;2B;OA 18;MA02;Matemática;Aprendizajes Complementarios;Leer horas y medias horas en relojes digitales, en el contexto de la resolución de problemas.
B;2B;OA 19;MA02;Matemática;Aprendizajes Basales;Determinar la longitud de objetos, usando unidades de medidas no estandarizadas y unidades estandarizadas (cm y m), en el contexto de la resolución de problemas.
B;2B;OA 20;MA02;Matemática;Aprendizajes Basales;Recolectar y registrar datos para responder preguntas estadísticas sobre juegos con monedas y dados, usando bloques y tablas de conteo y pictogramas.
B;2B;OA 21;MA02;Matemática;Aprendizajes Complementarios;Registrar en tablas y gráficos de barra simple, resultados de juegos aleatorios con dados y monedas.
B;2B;OA 22;MA02;Matemática;Aprendizajes Basales;Construir, leer e interpretar pictogramas con escala y gráficos de barra simple.
B;2B;OAA A;MA02;Matemática;Actitudes;Manifestar un estilo de trabajo ordenado y metódico.
B;2B;OAA B;MA02;Matemática;Actitudes;Abordar de manera flexible y creativa la búsqueda de soluciones a problemas.
B;2B;OAA C;MA02;Matemática;Actitudes;Manifestar curiosidad e interés por el aprendizaje de las matemáticas.
B;2B;OAA D;MA02;Matemática;Actitudes;Manifestar una actitud positiva frente a sí mismo y sus capacidades.
B;2B;OAA E;MA02;Matemática;Actitudes;Demostrar una actitud de esfuerzo y perseverancia.
B;2B;OAA F;MA02;Matemática;Actitudes;Expresar y escuchar ideas de forma respetuosa.
B;2B;OAH a;MA02;Matemática;Habilidades;Emplear diversas estrategias para resolver problemas: por medio de ensayo y error, aplicando conocimientos adquiridos.
B;2B;OAH b;MA02;Matemática;Habilidades;Resolver problemas: Comprobar enunciados, usando material concreto y gráfico.
B;2B;OAH c;MA02;Matemática;Habilidades;Argumentar y comunicar: Describir situaciones de la realidad con lenguaje matemático.
B;2B;OAH d;MA02;Matemática;Habilidades;Argumentar y comunicar: Comunicar el resultado de descubrimientos de relaciones, patrones y reglas, entre otros, empleando expresiones matemáticas.
B;2B;OAH e;MA02;Matemática;Habilidades;Argumentar y comunicar: Explicar las soluciones propias y los procedimientos utilizados.
B;2B;OAH f;MA02;Matemática;Habilidades;Modelar: Aplicar y seleccionar modelos que involucren sumas, restas y orden de cantidades.
B;2B;OAH g;MA02;Matemática;Habilidades;Modelar: Expresar, a partir de representaciones pictóricas y explicaciones dadas, acciones y situaciones cotidianas en lenguaje matemático.
B;2B;OAH h;MA02;Matemática;Habilidades;Representar: Elegir y utilizar representaciones concretas, pictóricas y simbólicas para representar enunciados.
B;2B;OAH i;MA02;Matemática;Habilidades;Representar: Crear un relato basado en una expresión matemática simple.
B;3B;OA 01;MA03;Matemática;Aprendizajes Complementarios;Contar números del 0 al 1 000 de 5 en 5, de 10 en 10, de 100 en 100: empezando por cualquier número natural menor que 1 000, de 3 en 3, de 4 en 4..., empezando por cualquier múltiplo del número correspondiente.
B;3B;OA 02;MA03;Matemática;Aprendizajes Basales;Leer números hasta 1 000 y representarlos en forma concreta, pictórica y simbólica.
B;3B;OA 03;MA03;Matemática;Aprendizajes Basales;Comparar y ordenar números naturales hasta   1 000, utilizando la recta numérica o la tabla posicional de manera manual y/o por medio de software educativo.
B;3B;OA 04;MA03;Matemática;Aprendizajes Complementarios;Describir y aplicar estrategias de cálculo mental para las adiciones y sustracciones hasta 100: por descomposición, completar hasta la decena más cercana, usar dobles, sumar en vez de restar, aplicar la asociatividad.
B;3B;OA 05;MA03;Matemática;Aprendizajes Basales;Identificar y describir las unidades, decenas y centenas en números del 0 al 1 000, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico.
B;3B;OA 06;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden la adición y la sustracción de números del 0 al 1 000: usando estrategias personales con y sin material concreto,; creando y resolviendo problemas de adición y sustracción que involucren operaciones combinadas, en forma concreta, pictórica y simbólica, de manera manual y/o por medio de software educativo,; aplicando los algoritmos con y sin reserva, progresivamente, en la adición de hasta cuatro sumandos y en la sustracción de hasta un sustraendo.
B;3B;OA 07;MA03;Matemática;Aprendizajes Complementarios;"Demostrar que comprenden la relación entre la adición y la sustracción, usando la ""familia de operaciones"" en cálculos aritméticos y en la resolución de problemas."
B;3B;OA 08;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden las tablas de multiplicar hasta 10 de manera progresiva: usando representaciones concretas y pictóricas, expresando una multiplicación como una adición de sumandos iguales, usando la distributividad como estrategia para construir las tablas hasta el 10, aplicando los resultados de las tablas de multiplicación hasta 10x10, sin realizar cálculos, resolviendo problemas que involucren las tablas aprendidas hasta el 10.
B;3B;OA 09;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden la división en el contexto de las tablas de hasta 10x10: representando y explicando la división como repartición y agrupación en partes iguales, con material concreto y pictórico, creando y resolviendo problemas en contextos que incluyan la repartición y la agrupación, expresando la división como una sustracción repetida, describiendo y aplicando la relación inversa entre la división y la multiplicación, aplicando los resultados de las tablas de multiplicación hasta 10x10, sin realizar cálculos.
B;3B;OA 10;MA03;Matemática;Aprendizajes Basales;Resolver problemas rutinarios en contextos cotidianos, que incluyan dinero e involucren las cuatro operaciones (no combinadas).
B;3B;OA 11;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden las fracciones de uso común: 1/4 , 1/3 , 1/2 , 2/3 , 3/4: explicando que una fracción representa la parte de un todo , de manera concreta, pictórica, simbólica, de forma manual y/o con software educativo, describiendo situaciones, en las cuales se puede usar fracciones, comparando fracciones de un mismo todo, de igual denominador.
B;3B;OA 12;MA03;Matemática;Aprendizajes Basales;Generar, describir y registrar patrones numéricos, usando una variedad de estrategias en tablas del 100, de manera manual y/o con software educativo.
B;3B;OA 13;MA03;Matemática;Aprendizajes Complementarios;Resolver ecuaciones de un paso que involucren adiciones y sustracciones y un símbolo geométrico que represente un número desconocido, en forma pictórica y simbólica del 0 al 100.
B;3B;OA 14;MA03;Matemática;Aprendizajes Complementarios;Describir la localización de un objeto en un mapa simple o cuadrícula.
B;3B;OA 15;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden la relación que existe entre figuras 3D y figuras 2D: construyendo una figura 3D a partir de una red (plantilla), desplegando la figura 3D.
B;3B;OA 16;MA03;Matemática;Aprendizajes Complementarios;Describir cubos, paralelepípedos, esferas, conos, cilindros y pirámides de acuerdo a la forma de sus caras y el número de aristas y vértices.
B;3B;OA 17;MA03;Matemática;Aprendizajes Complementarios;Reconocer en el entorno figuras 2D que están trasladadas, reflejadas y rotadas.
B;3B;OA 18;MA03;Matemática;Aprendizajes Complementarios;Demostrar que comprenden el concepto de ángulo: identificando ejemplos de ángulos en el entorno, estimando la medida de ángulos, usando como referente ángulos de 45º y de 90º.
B;3B;OA 19;MA03;Matemática;Aprendizajes Complementarios;Leer e interpretar líneas de tiempo y calendarios.
B;3B;OA 20;MA03;Matemática;Aprendizajes Complementarios;Leer y registrar el tiempo en horas, medias horas, cuartos de hora y minutos en relojes análogos y digitales.
B;3B;OA 21;MA03;Matemática;Aprendizajes Basales;Demostrar que comprenden el perímetro de una figura regular e irregular: midiendo y registrando el perímetro de figuras del entorno en el contexto de la resolución de problemas, determinando el perímetro de un cuadrado y de un rectángulo.
B;3B;OA 22;MA03;Matemática;Aprendizajes Basales;Demostrar que comprende la medición del peso (g y kg): comparando y ordenando dos o más objetos a partir de su peso de manera informal, usando modelos para explicar la relación que existe entre gramos y kilogramos, estimando el peso de objetos de uso cotidiano, usando referentes, midiendo y registrando el peso de objetos en números y en fracciones de uso común, en el contexto de la resolución de problemas.
B;3B;OA 23;MA03;Matemática;Aprendizajes Complementarios;Realizar encuestas y clasificar y organizar los datos obtenidos en tablas y visualizarlos en gráficos de barra.
B;3B;OA 24;MA03;Matemática;Aprendizajes Complementarios;Registrar y ordenar datos obtenidos de juegos aleatorios con dados y monedas, encontrando el menor, el mayor y estimando el punto medio entre ambos.
B;3B;OA 25;MA03;Matemática;Aprendizajes Basales;Construir, leer e interpretar pictogramas y gráficos de barra simple con escala, en base a información recolectada o dada.
B;3B;OA 26;MA03;Matemática;Aprendizajes Complementarios;Representar datos usando diagramas de puntos.
B;3B;OAA A;MA03;Matemática;Actitudes;Manifestar un estilo de trabajo ordenado y metódico.
B;3B;OAA B;MA03;Matemática;Actitudes;Abordar de manera flexible y creativa la búsqueda de soluciones a problemas.
B;3B;OAA C;MA03;Matemática;Actitudes;Manifestar curiosidad e interés por el aprendizaje de las matemáticas.
B;3B;OAA D;MA03;Matemática;Actitudes;Manifestar una actitud positiva frente a sí mismo y sus capacidades.
B;3B;OAA E;MA03;Matemática;Actitudes;Demostrar una actitud de esfuerzo y perseverancia.
B;3B;OAA F;MA03;Matemática;Actitudes;Expresar y escuchar ideas de forma respetuosa.
B;3B;OAH a;MA03;Matemática;Habilidades;Resolver problemas: Resolver problemas dados o creados.
B;3B;OAH b;MA03;Matemática;Habilidades;Resolver problemas: Emplear diversas estrategias para resolver problemas y alcanzar respuestas adecuadas, como la estrategia de los 4 pasos: entender, planificar, hacer y comprobar.
B;3B;OAH c;MA03;Matemática;Habilidades;Resolver problemas: Transferir los procedimientos utilizados en situaciones ya resueltas a problemas similares.
B;3B;OAH d;MA03;Matemática;Habilidades;Argumentar y comunicar: Formular preguntas para profundizar el conocimiento y la comprensión.
B;3B;OAH e;MA03;Matemática;Habilidades;Argumentar y comunicar: Descubrir regularidades matemáticas -la estructura de las operaciones inversas, el valor posicional en el sistema decimal, patrones como los múltiplos- y comunicarlas a otros.
B;3B;OAH f;MA03;Matemática;Habilidades;Argumentar y comunicar: Hacer deducciones matemáticas de manera concreta.
B;3B;OAH g;MA03;Matemática;Habilidades;Argumentar y comunicar: Describir una situación del entorno con una expresión matemática, con una ecuación o con una representación pictórica.
B;3B;OAH h;MA03;Matemática;Habilidades;Argumentar y comunicar: Escuchar el razonamiento de otros para enriquecerse y para corregir errores.
B;3B;OAH i;MA03;Matemática;Habilidades;Modelar: Aplicar, seleccionar y evaluar modelos que involucren las cuatro operaciones y la ubicación en la recta numérica y en el plano.
B;3B;OAH j;MA03;Matemática;Habilidades;Modelar: Expresar, a partir de representaciones pictóricas y explicaciones dadas, acciones y situaciones cotidianas en lenguaje matemático.
B;3B;OAH k;MA03;Matemática;Habilidades;Modelar: Identificar regularidades en expresiones numéricas y geométricas.
B;3B;OAH l;MA03;Matemática;Habilidades;Representar: Utilizar formas de representación adecuadas, como esquemas y tablas, con un lenguaje técnico específico y con los símbolos matemáticos correctos.
B;3B;OAH m;MA03;Matemática;Habilidades;Representar: Crear un problema real a partir de una expresión matemática, una ecuación o una representación.
B;3B;OAH n;MA03;Matemática;Habilidades;Representar: Transferir una situación de un nivel de representación a otro (por ejemplo: de lo concreto a lo pictórico y de lo pictórico a lo simbólico, y viceversa).
B;4B;OA 01;MA04;Matemática;Aprendizajes Basales;Representar y describir números del 0 al 10 000: contándolos de 10 en 10, de 100 en 100, de 1 000 en 1 000, leyéndolos y escribiéndolos, representándolos en forma concreta, pictórica y simbólica, comparándolos y ordenándolos en la recta numérica o la tabla posicional, identificando el valor posicional de los dígitos hasta la decena de mil, componiendo y descomponiendo números naturales hasta 10 000 en forma aditiva, de acuerdo a su valor posicional.
B;4B;OA 02;MA04;Matemática;Aprendizajes Basales;Describir y aplicar estrategias de cálculo mental: conteo hacia delante y atrás, doblar y dividir por 2, por descomposición, usar el doble del doble para determinar las multiplicaciones hasta 10x10 y sus divisiones correspondientes.
B;4B;OA 03;MA04;Matemática;Aprendizajes Basales;Demostrar que comprenden la adición y la sustracción de números hasta 1 000: usando estrategias personales para realizar estas operaciones, descomponiendo los números involucrados, estimando sumas y diferencias, resolviendo problemas rutinarios y no rutinarios que incluyan adiciones y sustracciones, aplicando los algoritmos en la adición de hasta cuatro sumandos y en la sustracción de hasta un sustraendo.
B;4B;OA 04;MA04;Matemática;Aprendizajes Complementarios;Fundamentar y aplicar las propiedades del 0 y del 1 para la multiplicación y la propiedad del 1 para la división.
B;4B;OA 05;MA04;Matemática;Aprendizajes Basales;Demostrar que comprenden la multiplicación de números de tres dígitos por números de un dígito: usando estrategias con o sin material concreto, utilizando las tablas de multiplicación, estimando productos, usando la propiedad distributiva de la multiplicación respecto de la suma, aplicando el algoritmo de la multiplicación, resolviendo problemas rutinarios.
B;4B;OA 06;MA04;Matemática;Aprendizajes Basales;Demostrar que comprenden la división con dividendos de dos dígitos y divisores de un dígito: usando estrategias para dividir, con o sin material concreto, utilizando la relación que existe entre la división y la multiplicación, estimando el cociente, aplicando la estrategia por descomposición del dividendo, aplicando el algoritmo de la división.
B;4B;OA 07;MA04;Matemática;Aprendizajes Basales;Resolver problemas rutinarios y no rutinarios en contextos cotidianos que incluyen dinero, seleccionando y utilizando la operación apropiada.
